147,,24/12/1998,6,16,23,24,28,38
148,,31/12/1998,32,35,41,55,58,59
149,"Brasília, DF",09/01/1999,7,11,20,28,45,48
150,,16/01/1999,12,44,50,52,54,55
151,,23/01/1999,3,16,20,43,52,56
152,,30/01/1999,5,12,15,29,51,58
153,,06/02/1999,2,30,31,42,45,47
154,,13/02/1999,8,10,24,33,45,48
155,,20/02/1999,12,30,32,35,43,44
156,,27/02/1999,17,23,42,49,52,55
157,,06/03/1999,4,13,17,21,41,44
158,,13/03/1999,4,14,17,43,51,58
159,"Brasília, DF",20/03/1999,9,11,16,35,50,58
160,"Sto. Antônio da Platina, PR",27/03/1999,2,13,42,52,54,58
161,,03/04/1999,6,25,30,37,39,41
162,,10/04/1999,21,23,33,38,48,51
163,,17/04/1999,8,27,36,41,53,56
164,,24/04/1999,4,10,14,19,28,44
165,,01/05/1999,10,19,23,35,39,56
166,,08/05/1999,12,13,22,57,59,60
167,,15/05/1999,1,11,28,33,38,48
168,,22/05/1999,2,9,31,35,45,50
169,"Ourinhos, SP",29/05/1999,1,13,21,37,51,52
170,,05/06/1999,7,41,46,51,55,58
171,"Americana, SP",12/06/1999,4,27,40,43,46,54
172,,19/06/1999,10,14,26,35,36,49
173,,26/06/1999,17,28,29,42,49,50
174,,03/07/1999,11,22,23,36,52,59
175,,10/07/1999,1,10,13,20,42,50
176,,17/07/1999,1,3,4,28,45,53
177,"São Leopoldo, RS",24/07/1999,22,35,38,39,41,59
178,,31/07/1999,5,15,19,26,27,33
179,"Araraquara, SP",07/08/1999,5,6,23,26,27,53
180,,14/08/1999,6,23,29,39,51,60
181,"São Caetano do Sul, SP",21/08/1999,1,27,33,35,51,55
182,,28/08/1999,3,5,10,28,46,60
183,,04/09/1999,2,7,11,16,40,44
184,"Presidente Prudente, SP",11/09/1999,9,16,21,34,41,60
185,,18/09/1999,17,22,43,46,55,59
186,,25/09/1999,14,23,24,25,26,51
187,,02/10/1999,6,36,41,44,48,58
188,"Salvador, BA",10/10/1999,17,27,34,42,43,46
189,"Passo Fundo, RS",16/10/1999,4,15,31,38,41,53
190,,24/10/1999,5,10,21,32,40,42
191,,31/10/1999,1,3,5,23,41,58
192,,06/11/1999,1,26,28,41,54,60
193,"CASCÁVEL, PR",13/11/1999,4,11,12,19,43,49
194,"ERECHIM, RS",20/11/1999,25,28,32,33,42,43
195,"PONTA GROSSA, PR",27/11/1999,3,9,17,32,37,44
196,"PONTA GROSSA, PR",04/12/1999,7,9,14,17,24,32
197,"MACEIÓ, AL",11/12/1999,5,12,15,19,29,52
198,"MARINGÁ, PR",18/12/1999,1,8,18,23,35,40
199,"SÃO PAULO, SP",24/12/1999,10,16,37,50,52,57
200,,31/12/1999,12,15,19,34,44,51
201,"BELO HORIZONTE, MG",08/01/2000,5,20,22,30,35,55
202,"VITÓRIA, ES",15/01/2000,12,24,44,45,49,53
203,"GUARAPARI, ES",22/01/2000,11,19,29,44,47,55
204,"GUARUJÁ, SP",29/01/2000,29,31,39,41,51,58
205,"BRASÍLIA, DF",05/02/2000,26,32,40,43,46,54
206,"CURITIBA, PR",12/02/2000,18,20,26,34,51,56
207,"FLORIANÓPOLIS, SC",19/02/2000,3,7,19,24,53,55
208,"CAXIAS DO SUL, RS",26/02/2000,15,23,24,25,47,57
209,"BALNEÁRIO CAMBORIÚ, SC",04/03/2000,13,21,26,32,41,52
210,"BRASÍLIA, DF",11/03/2000,20,32,37,38,48,58
211,"PALMAS, TO",18/03/2000,10,20,33,40,45,50
212,"PORTO VELHO, RO",25/03/2000,6,15,29,45,57,59
213,"CAMPO GRANDE, MS",01/04/2000,3,9,23,30,32,35
214,"SANTA ROSA, RS",08/04/2000,6,12,30,31,35,50
215,"LONDRINA, PR",15/04/2000,7,28,37,46,53,58
216,"PORTO SEGURO, BA",22/04/2000,14,18,30,35,42,59
217,"XANXERÊ, SC",29/04/2000,3,27,32,45,49,51
218,"SARANDI, RS",06/05/2000,12,17,40,42,47,54
219,"OSASCO, SP",13/05/2000,23,26,28,36,42,49
220,"FRANCA, SP",20/05/2000,13,14,36,53,55,60
221,"JUIZ DE FORA, MG",27/05/2000,13,27,43,50,54,58
222,"OURINHOS, SP",03/06/2000,5,19,30,48,52,55
223,,10/06/2000,2,6,22,24,28,58
224,"CARUARU, PE",17/06/2000,7,16,18,20,21,44
225,"BRASÍLIA, DF",24/06/2000,2,4,16,21,37,58
226,"BRASÍLIA, DF",01/07/2000,1,2,38,49,50,59
227,"MONTES CLAROS, MG",08/07/2000,11,26,27,37,42,48
228,"JACAREI, SP",15/07/2000,13,16,40,43,45,59
229,"GARANHUNS, PE",22/07/2000,11,13,21,33,39,45
230,"CAICÓ, RN",29/07/2000,8,40,41,44,53,56
231,"ASSIS, SP",05/08/2000,16,27,36,42,44,59
232,"ASSIS, SP",12/08/2000,19,22,29,37,41,59
233,"BRASÍLIA, DF",19/08/2000,3,7,24,32,36,45
234,"BRASÍLIA, DF",26/08/2000,15,25,41,42,45,54
235,"UNAÍ, MG",02/09/2000,2,22,29,31,41,55
236,"BIRIGUI, SP",09/09/2000,10,25,50,52,57,60
237,"TUBARÃO, SC",16/09/2000,7,31,36,45,56,57
238,"PORTO ALEGRE, RS",23/09/2000,9,13,15,37,41,42
239,"Belém, PA",30/09/2000,6,21,33,44,46,47
240,"Belém, PA",07/10/2000,25,28,38,41,57,59
241,"Santa Cruz do Sul, RS",14/10/2000,11,31,35,40,56,57
242,"Teresina, PI",21/10/2000,4,7,21,22,28,56
243,"SÃO LUÍS, MA",28/10/2000,11,16,20,23,32,47
244,"Juazeiro do Norte, CE",04/11/2000,19,24,33,47,50,60
245,"FORTALEZA, CE",11/11/2000,8,27,44,51,53,60
246,"Cascavel, PR",18/11/2000,2,16,32,37,43,57
247,"Ponta Grossa, PR",25/11/2000,3,10,23,30,34,46
248,"PONTA GROSSA, PR",02/12/2000,16,32,34,35,41,56
249,"MACEIÓ, AL",09/12/2000,21,36,40,49,54,55
250,"Suzano, SP",16/12/2000,7,25,41,42,43,55
251,"SÃO PAULO, SP",23/12/2000,15,23,30,34,49,55
252,"Ubatuba, SP",30/12/2000,4,17,26,32,51,54
253,"Brasília, DF",06/01/2001,11,12,24,37,44,56
254,"ALMENARA, MG",13/01/2001,1,4,21,22,30,56
255,"Guaratuba, PR",20/01/2001,16,19,20,32,44,55
256,"SÃO SEBASTIÃO , SP",27/01/2001,2,21,26,32,34,52
257,"CARAGUATATUBA, SP",03/02/2001,1,4,5,19,28,34
258,"Piracicaba, SP",10/02/2001,7,12,50,54,55,60
259,"São Carlos, SP",17/02/2001,13,15,20,33,43,58
260,"CORUMBÁ, MS",24/02/2001,4,6,33,43,59,60
261,"Paranavaí, PR",03/03/2001,5,16,20,30,54,56
262,"JOINVILLE, SC",10/03/2001,11,20,48,53,58,60
263,"UMUARAMA, PR",17/03/2001,8,9,26,43,50,53
264,"Sto Antônio da Platina, PR",24/03/2001,1,5,13,25,31,33
